attempt_id,timestamp,username,role,resource,action,permission,ip_address,access_status,reason
1,2024-10-01T09:12:10,admin1,ADMIN,/admin,READ,READ_ADMIN,192.168.1.10,AUTHORIZED,permission_ok_ip_known
2,2024-10-01T09:14:22,admin1,ADMIN,/users,READ,READ_USERS,192.168.1.10,AUTHORIZED,permission_ok_ip_known
3,2024-10-01T09:16:03,admin1,ADMIN,/users/edit,WRITE,EDIT_USERS,192.168.1.10,AUTHORIZED,permission_ok_ip_known
4,2024-10-01T10:05:44,user1,USER,/dashboard,READ,READ_DASHBOARD,192.168.1.20,AUTHORIZED,first_ip_registered
5,2024-10-01T10:07:11,user1,USER,/profile,READ,READ_PROFILE,192.168.1.20,AUTHORIZED,permission_ok_ip_known
6,2024-10-01T10:10:02,user1,USER,/admin,READ,READ_ADMIN,192.168.1.20,REFUSED,no_permission
7,2024-10-02T08:55:19,user2,USER,/dashboard,READ,READ_DASHBOARD,192.168.1.21,AUTHORIZED,first_ip_registered
8,2024-10-02T08:58:40,user2,USER,/users,READ,READ_USERS,192.168.1.21,REFUSED,no_permission
9,2024-10-02T09:01:33,user2,USER,/profile,READ,READ_PROFILE,192.168.1.21,AUTHORIZED,permission_ok_ip_known
10,2024-10-02T09:05:14,user2,USER,/profile,READ,READ_PROFILE,10.0.0.5,SUSPICIOUS,new_ip_detected
11,2024-10-03T11:20:01,guest1,GUEST,/dashboard,READ,READ_DASHBOARD,192.168.1.30,AUTHORIZED,first_ip_registered
12,2024-10-03T11:22:18,guest1,GUEST,/profile,READ,READ_PROFILE,192.168.1.30,REFUSED,no_permission
13,2024-10-03T11:25:55,guest1,GUEST,/admin,READ,READ_ADMIN,192.168.1.30,REFUSED,no_permission
14,2024-10-04T14:10:44,admin2,ADMIN,/admin,READ,READ_ADMIN,172.16.0.2,AUTHORIZED,first_ip_registered
15,2024-10-04T14:13:29,admin2,ADMIN,/users/edit,WRITE,EDIT_USERS,172.16.0.2,AUTHORIZED,permission_ok_ip_known
16,2024-10-04T14:18:03,admin2,ADMIN,/users/edit,WRITE,EDIT_USERS,10.10.10.10,SUSPICIOUS,new_ip_detected
17,2024-10-05T09:42:11,user3,USER,/dashboard,READ,READ_DASHBOARD,192.168.1.22,AUTHORIZED,first_ip_registered
18,2024-10-05T09:44:37,user3,USER,/users,READ,READ_USERS,192.168.1.22,REFUSED,no_permission
19,2024-10-05T09:48:02,user3,USER,/profile,READ,READ_PROFILE,192.168.1.22,AUTHORIZED,permission_ok_ip_known
20,2024-10-05T09:52:45,user3,USER,/profile,READ,READ_PROFILE,192.168.99.99,SUSPICIOUS,new_ip_detected
